Animal ID;Name;DateTime;Found Location;Intake Type;Intake Condition;Animal Type;Sex upon Intake;Age upon Intake;Breed;Color
A832835;Terry;04/20/2021 12:12:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 years;Chihuahua Shorthair/Italian Greyhound;Brown/White
A830924;*Basil;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 weeks;Australian Shepherd Mix;White/Black
A830933;*Tux;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 weeks;Australian Shepherd Mix;Black/White
A832794;;04/19/2021 05:03:00 PM;11739 Gemmer Street in Travis (TX);Stray;Normal;Cat;Intact Male;3 days;Domestic Shorthair;Cream Tabby
A830928;*Stella;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 weeks;Australian Shepherd Mix;Blue Merle/White
A832840;;04/20/2021 12:18:00 PM;14906 Zurick in Travis (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair;Black
A832844;Lala;04/20/2021 01:34:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;7 months;Clumber Spaniel Mix;Black
A832797;;04/19/2021 05:03:00 PM;11739 Gemmer Street in Travis (TX);Stray;Normal;Cat;Intact Male;3 days;Domestic Shorthair;Blue
A832795;;04/19/2021 05:03:00 PM;11739 Gemmer Street in Travis (TX);Stray;Normal;Cat;Intact Male;3 days;Domestic Shorthair;Orange Tabby
A830931;*Poppy;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 weeks;Australian Shepherd Mix;Blue Merle/White
A830926;*Bonni;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 weeks;Australian Shepherd Mix;Blue Merle/White
A830932;*Darla;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 weeks;Australian Shepherd Mix;Blue Merle/White
A830929;*Otter;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Female;2 weeks;Australian Shepherd Mix;Chocolate/White
A832838;;04/20/2021 12:18:00 PM;14906 Zurick in Travis (TX);Stray;Normal;Cat;Intact Male;2 weeks;Domestic Shorthair;Black/White
A830927;*Dingo;03/18/2021 03:58:00 PM;Austin (TX);Owner Surrender;Normal;Dog;Intact Male;2 weeks;Australian Shepherd Mix;Blue Merle/White
A832796;;04/19/2021 05:03:00 PM;11739 Gemmer Street in Travis (TX);Stray;Normal;Cat;Intact Male;3 days;Domestic Shorthair;Orange Tabby
A821320;Ichabod;08/08/2020 02:59:00 PM;Austin (TX);Stray;Nursing;Cat;Intact Male;2 days;Domestic Shorthair;White/Blue
